group,benchmark,baseline_ns,current_ns,baseline_us,current_us,delta_pct
algo_slow_dedup,algo_slow_dedup/all_same_n=500,520.4,3905.2,0.5,3.9,+681.04
algo_slow_dedup,algo_slow_dedup/all_unique_n=500,87289.6,4543.6,87.3,4.5,-94.80
algo_slow_dedup,algo_slow_dedup/half_dup_n=100,1847.8,1036.0,1.8,1.0,-42.45
algo_slow_dedup,algo_slow_dedup/half_dup_n=1000,142696.6,10375.9,142.7,10.4,-92.73
algo_slow_fib,algo_slow_fib/n=10,151.4,1.7,0.2,0.0,-99.16
algo_slow_fib,algo_slow_fib/n=20,18903.9,2.6,18.9,0.0,-99.99
algo_slow_fib,algo_slow_fib/n=30,2327016.9,3.9,2327.0,0.0,-100.00
algo_slow_fib,algo_slow_fib/n=35,28165761.5,3.5,28165.8,0.0,-100.00
algo_slow_fib,algo_slow_fib/n=40,318359989.7,5.0,318360.0,0.0,-100.00
concurrency_race_increment,concurrency_race_increment/1_thread_10k_iter,333000.6,373363.7,333.0,373.4,+12.12
concurrency_race_increment,concurrency_race_increment/2_threads_10k_iter,432303.8,417752.3,432.3,417.8,-3.37
concurrency_race_increment,concurrency_race_increment/4_threads_10k_iter,690442.5,654503.2,690.4,654.5,-5.20
concurrency_race_increment,concurrency_race_increment/8_threads_10k_iter,1187507.2,1163448.0,1187.5,1163.4,-2.03
concurrency_read_after_sleep,concurrency_read_after_sleep/sleep_10ms,11292026.5,12706949.7,11292.0,12706.9,+12.53
lib_average_positive,lib_average_positive/all_negative_10k,3300.5,3414.4,3.3,3.4,+3.47
lib_average_positive,lib_average_positive/all_positive_10k,14325.2,4006.9,14.3,4.0,-71.98
lib_average_positive,lib_average_positive/mixed_100k,85130.6,35711.6,85.1,35.7,-58.04
lib_average_positive,lib_average_positive/mixed_10k,9775.6,4321.5,9.8,4.3,-55.90
lib_leak_buffer,lib_leak_buffer/all_nonzero_10k,4010.6,3713.0,4.0,3.7,-7.17
lib_leak_buffer,lib_leak_buffer/all_nonzero_1M,445199.7,375405.7,445.2,375.4,-15.68
lib_leak_buffer,lib_leak_buffer/all_zero_10k,3976.0,3717.5,4.0,3.7,-7.06
lib_leak_buffer,lib_leak_buffer/mixed_10k,4285.6,3653.8,4.3,3.7,-15.03
lib_normalize,lib_normalize/large_100x,6771.9,6427.8,6.8,6.4,-5.47
lib_normalize,lib_normalize/medium_10x,833.2,829.0,0.8,0.8,+3.63
lib_normalize,lib_normalize/short,67.0,50.9,0.1,0.1,-49.12
lib_normalize,lib_normalize/whitespace_only,501.0,554.1,0.5,0.6,+10.81
lib_sum_even,lib_sum_even/n=100,24.8,19.5,0.0,0.0,+0.00
lib_sum_even,lib_sum_even/n=500_000,123507.5,99111.6,123.5,99.1,-19.75
lib_sum_even,lib_sum_even/n=50_000,12219.0,9848.1,12.2,9.8,-19.28
